constructor,c_nationality,c_url,seasons
Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),1
Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,2
Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),3
Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,1
Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,46
Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),1
Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,8
Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,1
Ligier,French,http://en.wikipedia.org/wiki/Ligier,21
Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,2
Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,4
Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),2
Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,2
LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),1
Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,24
Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),1
McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),1
Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,19
Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),1
Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,2
Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,4
Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,1
Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,1
Osella,Italian,http://en.wikipedia.org/wiki/Osella,11
Toleman,British,http://en.wikipedia.org/wiki/Toleman,5
Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),3
RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,3
Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,21
Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,5
Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,16
AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,6
Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,8
Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,5
Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,2
Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,5
Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,3
Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),2
Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,2
Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),1
Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,15
Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),1
Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,2
Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,6
Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,22
Simtek,British,http://en.wikipedia.org/wiki/Simtek,2
Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,2
Forti,Italian,http://en.wikipedia.org/wiki/Forti,2
Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,5
Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,3
BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,7
Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,5
Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,8
Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,17
BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,4
Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,14
MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,1
Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,3
