constructor,championship_wins
Ferrari,16
Williams,9
Mercedes,8
McLaren,8
Red Bull,4
Team Lotus,4
Cooper-Climax,2
Brabham-Repco,2
Lotus-Climax,2
Renault,2
Lotus-Ford,1
Matra-Ford,1
Tyrrell,1
Benetton,1
Brawn,1
BRM,1
Vanwall,1
